Date,Month,Quarter,Region,Category,Sales Rep,Channel,Units,Unit Price,Revenue,Cost,Gross Profit
31-May-2024,May 2024,Q2 2024,Nairobi,Food & Beverage,Alice M.,Online,163,74.21,"12,096.23","7,477.26","4,618.97"
31-May-2024,May 2024,Q2 2024,Kisumu,Industrial Supplies,Grace A.,Walk-in,193,27.31,"5,270.83","2,646.88","2,623.95"
01-Jun-2024,Jun 2024,Q2 2024,Eldoret,Food & Beverage,David K.,Distributor,100,383.63,"38,363.00","21,529.98","16,833.02"
02-Jun-2024,Jun 2024,Q2 2024,Nakuru,Apparel,Henry L.,Online,55,499.69,"27,482.95","12,403.95","15,079.00"
02-Jun-2024,Jun 2024,Q2 2024,Nairobi,Electronics,Alice M.,Online,170,63.59,"10,810.30","5,080.65","5,729.65"
03-Jun-2024,Jun 2024,Q2 2024,Nakuru,Electronics,Carol W.,Direct,14,159.14,"2,227.96","1,286.83",941.13
03-Jun-2024,Jun 2024,Q2 2024,Eldoret,Food & Beverage,Grace A.,Direct,6,260.64,"1,563.84",810.34,753.50
04-Jun-2024,Jun 2024,Q2 2024,Eldoret,FMCG,Henry L.,Online,156,486.21,"75,848.76","30,398.25","45,450.51"
06-Jun-2024,Jun 2024,Q2 2024,Mombasa,Electronics,David K.,Direct,26,368.63,"9,584.38","4,450.91","5,133.47"
07-Jun-2024,Jun 2024,Q2 2024,Kisumu,Apparel,Alice M.,Distributor,41,287.50,"11,787.50","7,187.14","4,600.36"
08-Jun-2024,Jun 2024,Q2 2024,Eldoret,Industrial Supplies,Grace A.,Distributor,24,300.13,"7,203.12","3,308.39","3,894.73"
08-Jun-2024,Jun 2024,Q2 2024,Kisumu,Food & Beverage,Brian O.,Direct,44,87.13,"3,833.72","2,046.27","1,787.45"
08-Jun-2024,Jun 2024,Q2 2024,Kisumu,Electronics,Henry L.,Direct,99,108.33,"10,724.67","5,927.18","4,797.49"
09-Jun-2024,Jun 2024,Q2 2024,Nakuru,Food & Beverage,Brian O.,Walk-in,152,103.14,"15,677.28","11,514.41","4,162.87"
09-Jun-2024,Jun 2024,Q2 2024,Eldoret,Industrial Supplies,Grace A.,Walk-in,79,66.43,"5,247.97","3,897.67","1,350.30"
09-Jun-2024,Jun 2024,Q2 2024,Nairobi,FMCG,Esther N.,Direct,51,192.92,"9,838.92","6,892.40","2,946.52"
09-Jun-2024,Jun 2024,Q2 2024,Kisumu,Apparel,Carol W.,Walk-in,197,438.50,"86,384.50","45,390.59","40,993.91"
12-Jun-2024,Jun 2024,Q2 2024,Kisumu,Industrial Supplies,Carol W.,Online,136,285.21,"38,788.56","24,759.10","14,029.46"
12-Jun-2024,Jun 2024,Q2 2024,Mombasa,Apparel,Felix R.,Walk-in,16,285.64,"4,570.24","3,073.73","1,496.51"
14-Jun-2024,Jun 2024,Q2 2024,Eldoret,Apparel,Alice M.,Direct,63,481.34,"30,324.42","13,870.83","16,453.59"
14-Jun-2024,Jun 2024,Q2 2024,Mombasa,Apparel,Esther N.,Direct,69,106.19,"7,327.11","3,042.78","4,284.33"
15-Jun-2024,Jun 2024,Q2 2024,Nairobi,FMCG,Alice M.,Online,107,141.19,"15,107.33","10,214.91","4,892.42"
15-Jun-2024,Jun 2024,Q2 2024,Mombasa,Food & Beverage,Henry L.,Online,27,223.99,"6,047.73","4,311.72","1,736.01"
15-Jun-2024,Jun 2024,Q2 2024,Nakuru,Electronics,Esther N.,Walk-in,104,391.79,"40,746.16","20,222.51","20,523.65"
16-Jun-2024,Jun 2024,Q2 2024,Kisumu,Apparel,Henry L.,Walk-in,47,347.98,"16,355.06","10,253.94","6,101.12"
17-Jun-2024,Jun 2024,Q2 2024,Eldoret,Industrial Supplies,Felix R.,Walk-in,143,27.59,"3,945.37","2,864.55","1,080.82"
17-Jun-2024,Jun 2024,Q2 2024,Mombasa,Food & Beverage,Brian O.,Walk-in,135,187.30,"25,285.50","15,755.16","9,530.34"
17-Jun-2024,Jun 2024,Q2 2024,Kisumu,Food & Beverage,Alice M.,Online,172,186.18,"32,022.96","21,368.73","10,654.23"
18-Jun-2024,Jun 2024,Q2 2024,Eldoret,Apparel,Brian O.,Online,134,161.55,"21,647.70","13,141.51","8,506.19"
18-Jun-2024,Jun 2024,Q2 2024,Eldoret,Electronics,Alice M.,Distributor,59,451.62,"26,645.58","13,527.94","13,117.64"
19-Jun-2024,Jun 2024,Q2 2024,Nakuru,FMCG,Esther N.,Distributor,184,62.97,"11,586.48","5,152.99","6,433.49"
19-Jun-2024,Jun 2024,Q2 2024,Nakuru,Food & Beverage,Henry L.,Distributor,160,447.63,"71,620.80","50,211.67","21,409.13"
19-Jun-2024,Jun 2024,Q2 2024,Mombasa,Apparel,Alice M.,Direct,120,144.03,"17,283.60","8,358.04","8,925.56"
21-Jun-2024,Jun 2024,Q2 2024,Kisumu,Food & Beverage,David K.,Distributor,161,429.51,"69,151.11","30,152.31","38,998.80"
22-Jun-2024,Jun 2024,Q2 2024,Nakuru,Industrial Supplies,Grace A.,Direct,85,219.11,"18,624.35","9,632.74","8,991.61"
22-Jun-2024,Jun 2024,Q2 2024,Eldoret,Electronics,Felix R.,Direct,89,56.31,"5,011.59","2,568.78","2,442.81"
26-Jun-2024,Jun 2024,Q2 2024,Nakuru,Apparel,Henry L.,Distributor,56,415.70,"23,279.20","15,250.29","8,028.91"
26-Jun-2024,Jun 2024,Q2 2024,Nairobi,Electronics,Grace A.,Distributor,24,176.89,"4,245.36","2,041.37","2,203.99"
26-Jun-2024,Jun 2024,Q2 2024,Kisumu,FMCG,Brian O.,Online,119,15.58,"1,854.02","1,254.45",599.57
28-Jun-2024,Jun 2024,Q2 2024,Mombasa,Electronics,Alice M.,Direct,68,107.69,"7,322.92","5,439.96","1,882.96"
28-Jun-2024,Jun 2024,Q2 2024,Kisumu,Industrial Supplies,Carol W.,Direct,84,283.87,"23,845.08","12,513.36","11,331.72"
29-Jun-2024,Jun 2024,Q2 2024,Nakuru,Food & Beverage,Carol W.,Online,162,299.18,"48,467.16","24,949.03","23,518.13"
30-Jun-2024,Jun 2024,Q2 2024,Nairobi,Industrial Supplies,Alice M.,Walk-in,9,235.28,"2,117.52","1,530.43",587.09
30-Jun-2024,Jun 2024,Q2 2024,Kisumu,Industrial Supplies,Brian O.,Online,108,234.91,"25,370.28","16,868.12","8,502.16"
30-Jun-2024,Jun 2024,Q2 2024,Mombasa,FMCG,Esther N.,Online,119,442.88,"52,702.72","38,887.90","13,814.82"
02-Jul-2024,Jul 2024,Q3 2024,Kisumu,Industrial Supplies,Carol W.,Distributor,140,211.91,"29,667.40","15,171.01","14,496.39"
02-Jul-2024,Jul 2024,Q3 2024,Eldoret,Electronics,Felix R.,Distributor,149,474.70,"70,730.30","32,334.79","38,395.51"
04-Jul-2024,Jul 2024,Q3 2024,Eldoret,FMCG,Brian O.,Direct,174,121.67,"21,170.58","13,733.66","7,436.92"
04-Jul-2024,Jul 2024,Q3 2024,Nairobi,Apparel,Felix R.,Direct,106,145.18,"15,389.08","6,326.88","9,062.20"
04-Jul-2024,Jul 2024,Q3 2024,Eldoret,Food & Beverage,Brian O.,Walk-in,133,118.56,"15,768.48","8,431.61","7,336.87"
06-Jul-2024,Jul 2024,Q3 2024,Eldoret,Food & Beverage,Esther N.,Distributor,70,457.88,"32,051.60","13,446.74","18,604.86"
06-Jul-2024,Jul 2024,Q3 2024,Nakuru,Apparel,Alice M.,Walk-in,18,289.44,"5,209.92","3,552.49","1,657.43"
06-Jul-2024,Jul 2024,Q3 2024,Eldoret,Electronics,Henry L.,Distributor,113,60.18,"6,800.34","3,124.59","3,675.75"
07-Jul-2024,Jul 2024,Q3 2024,Nakuru,Food & Beverage,Felix R.,Walk-in,195,279.69,"54,539.55","34,189.01","20,350.54"
08-Jul-2024,Jul 2024,Q3 2024,Kisumu,FMCG,Esther N.,Direct,160,321.14,"51,382.40","28,930.91","22,451.49"
08-Jul-2024,Jul 2024,Q3 2024,Eldoret,Food & Beverage,Carol W.,Walk-in,37,30.50,"1,128.50",702.35,426.15
09-Jul-2024,Jul 2024,Q3 2024,Mombasa,Food & Beverage,Alice M.,Online,176,69.89,"12,300.64","7,703.16","4,597.48"
10-Jul-2024,Jul 2024,Q3 2024,Mombasa,Industrial Supplies,Brian O.,Direct,26,55.68,"1,447.68","1,036.83",410.85
10-Jul-2024,Jul 2024,Q3 2024,Kisumu,Electronics,Felix R.,Direct,93,128.15,"11,917.95","6,197.49","5,720.46"
10-Jul-2024,Jul 2024,Q3 2024,Eldoret,Food & Beverage,Esther N.,Online,180,62.97,"11,334.60","8,247.70","3,086.90"
11-Jul-2024,Jul 2024,Q3 2024,Nakuru,FMCG,Grace A.,Direct,163,154.74,"25,222.62","16,741.33","8,481.29"
12-Jul-2024,Jul 2024,Q3 2024,Nakuru,Apparel,David K.,Distributor,151,197.66,"29,846.66","13,442.80","16,403.86"
12-Jul-2024,Jul 2024,Q3 2024,Kisumu,Apparel,Carol W.,Distributor,191,10.88,"2,078.08","1,047.97","1,030.11"
13-Jul-2024,Jul 2024,Q3 2024,Kisumu,Industrial Supplies,Esther N.,Direct,125,19.50,"2,437.50","1,367.93","1,069.57"
13-Jul-2024,Jul 2024,Q3 2024,Kisumu,Electronics,Henry L.,Online,51,248.90,"12,693.90","7,943.99","4,749.91"
13-Jul-2024,Jul 2024,Q3 2024,Mombasa,FMCG,Alice M.,Direct,53,19.28,"1,021.84",654.19,367.65
13-Jul-2024,Jul 2024,Q3 2024,Nakuru,Apparel,Carol W.,Online,15,150.94,"2,264.10","1,132.16","1,131.94"
13-Jul-2024,Jul 2024,Q3 2024,Nairobi,Food & Beverage,Esther N.,Walk-in,184,85.03,"15,645.52","7,927.32","7,718.20"
14-Jul-2024,Jul 2024,Q3 2024,Eldoret,Apparel,Grace A.,Direct,43,77.31,"3,324.33","2,260.20","1,064.13"
15-Jul-2024,Jul 2024,Q3 2024,Eldoret,Industrial Supplies,David K.,Distributor,88,467.54,"41,143.52","20,473.22","20,670.30"
16-Jul-2024,Jul 2024,Q3 2024,Kisumu,FMCG,Henry L.,Walk-in,99,462.91,"45,828.09","26,041.97","19,786.12"
16-Jul-2024,Jul 2024,Q3 2024,Mombasa,Food & Beverage,Alice M.,Direct,169,467.84,"79,064.96","45,308.28","33,756.68"
17-Jul-2024,Jul 2024,Q3 2024,Nakuru,Food & Beverage,Carol W.,Walk-in,113,101.02,"11,415.26","6,022.40","5,392.86"
17-Jul-2024,Jul 2024,Q3 2024,Kisumu,FMCG,Carol W.,Distributor,156,165.82,"25,867.92","12,718.30","13,149.62"
17-Jul-2024,Jul 2024,Q3 2024,Eldoret,Industrial Supplies,Henry L.,Distributor,126,156.44,"19,711.44","12,059.82","7,651.62"
17-Jul-2024,Jul 2024,Q3 2024,Eldoret,Industrial Supplies,Felix R.,Online,138,234.50,"32,361.00","14,377.57","17,983.43"
18-Jul-2024,Jul 2024,Q3 2024,Nakuru,Food & Beverage,David K.,Walk-in,61,143.74,"8,768.14","5,085.74","3,682.40"
18-Jul-2024,Jul 2024,Q3 2024,Kisumu,Industrial Supplies,Carol W.,Walk-in,37,490.55,"18,150.35","10,219.68","7,930.67"
18-Jul-2024,Jul 2024,Q3 2024,Eldoret,Apparel,Grace A.,Distributor,181,364.84,"66,036.04","37,952.40","28,083.64"
18-Jul-2024,Jul 2024,Q3 2024,Kisumu,Apparel,Brian O.,Direct,6,472.05,"2,832.30","1,683.36","1,148.94"
20-Jul-2024,Jul 2024,Q3 2024,Eldoret,Food & Beverage,Alice M.,Direct,169,220.02,"37,183.38","16,606.17","20,577.21"
20-Jul-2024,Jul 2024,Q3 2024,Eldoret,Industrial Supplies,David K.,Distributor,154,182.92,"28,169.68","20,628.96","7,540.72"
21-Jul-2024,Jul 2024,Q3 2024,Mombasa,Apparel,Henry L.,Online,197,468.51,"92,296.47","68,921.43","23,375.04"
22-Jul-2024,Jul 2024,Q3 2024,Eldoret,Industrial Supplies,Esther N.,Direct,197,326.98,"64,415.06","41,860.85","22,554.21"
24-Jul-2024,Jul 2024,Q3 2024,Eldoret,Food & Beverage,Grace A.,Direct,97,353.80,"34,318.60","15,982.04","18,336.56"
25-Jul-2024,Jul 2024,Q3 2024,Kisumu,Food & Beverage,Carol W.,Distributor,112,335.82,"37,611.84","23,217.76","14,394.08"
25-Jul-2024,Jul 2024,Q3 2024,Nakuru,Industrial Supplies,Grace A.,Direct,14,271.55,"3,801.70","1,879.06","1,922.64"
25-Jul-2024,Jul 2024,Q3 2024,Nairobi,FMCG,David K.,Distributor,59,369.70,"21,812.30","11,857.33","9,954.97"
26-Jul-2024,Jul 2024,Q3 2024,Mombasa,FMCG,Grace A.,Walk-in,12,371.32,"4,455.84","1,964.65","2,491.19"
27-Jul-2024,Jul 2024,Q3 2024,Eldoret,FMCG,David K.,Distributor,50,441.89,"22,094.50","16,379.20","5,715.30"
27-Jul-2024,Jul 2024,Q3 2024,Nakuru,Food & Beverage,David K.,Walk-in,170,358.80,"60,996.00","36,179.10","24,816.90"
27-Jul-2024,Jul 2024,Q3 2024,Kisumu,Electronics,Felix R.,Distributor,118,227.90,"26,892.20","17,946.79","8,945.41"
27-Jul-2024,Jul 2024,Q3 2024,Nairobi,Electronics,Brian O.,Online,146,55.60,"8,117.60","4,389.06","3,728.54"
27-Jul-2024,Jul 2024,Q3 2024,Nairobi,Food & Beverage,Felix R.,Distributor,120,161.07,"19,328.40","12,703.54","6,624.86"
28-Jul-2024,Jul 2024,Q3 2024,Eldoret,Food & Beverage,Esther N.,Online,81,126.40,"10,238.40","7,500.93","2,737.47"
28-Jul-2024,Jul 2024,Q3 2024,Eldoret,Industrial Supplies,Carol W.,Online,188,98.37,"18,493.56","13,347.10","5,146.46"
29-Jul-2024,Jul 2024,Q3 2024,Nakuru,Apparel,Grace A.,Direct,121,53.15,"6,431.15","4,255.24","2,175.91"
29-Jul-2024,Jul 2024,Q3 2024,Nairobi,Apparel,Henry L.,Walk-in,103,494.32,"50,914.96","24,065.58","26,849.38"
31-Jul-2024,Jul 2024,Q3 2024,Kisumu,Food & Beverage,Esther N.,Direct,77,365.76,"28,163.52","12,867.45","15,296.07"
31-Jul-2024,Jul 2024,Q3 2024,Nairobi,Industrial Supplies,Felix R.,Distributor,103,497.32,"51,223.96","31,696.39","19,527.57"
01-Aug-2024,Aug 2024,Q3 2024,Eldoret,Food & Beverage,David K.,Walk-in,120,455.17,"54,620.40","35,280.76","19,339.64"
01-Aug-2024,Aug 2024,Q3 2024,Eldoret,Apparel,Alice M.,Walk-in,72,483.86,"34,837.92","16,582.28","18,255.64"
02-Aug-2024,Aug 2024,Q3 2024,Mombasa,FMCG,Carol W.,Online,18,324.18,"5,835.24","2,591.19","3,244.05"
02-Aug-2024,Aug 2024,Q3 2024,Mombasa,Industrial Supplies,Henry L.,Walk-in,94,277.55,"26,089.70","18,641.09","7,448.61"
03-Aug-2024,Aug 2024,Q3 2024,Kisumu,Apparel,Esther N.,Online,123,427.09,"52,532.07","30,747.66","21,784.41"
06-Aug-2024,Aug 2024,Q3 2024,Eldoret,Electronics,Brian O.,Direct,181,452.93,"81,980.33","45,830.56","36,149.77"
06-Aug-2024,Aug 2024,Q3 2024,Eldoret,Industrial Supplies,Carol W.,Walk-in,120,137.00,"16,440.00","10,907.38","5,532.62"
06-Aug-2024,Aug 2024,Q3 2024,Nairobi,Industrial Supplies,Henry L.,Direct,25,167.83,"4,195.75","2,928.98","1,266.77"
06-Aug-2024,Aug 2024,Q3 2024,Eldoret,Apparel,Brian O.,Walk-in,176,56.74,"9,986.24","4,058.51","5,927.73"
08-Aug-2024,Aug 2024,Q3 2024,Kisumu,Industrial Supplies,Grace A.,Walk-in,191,36.54,"6,979.14","3,638.16","3,340.98"
08-Aug-2024,Aug 2024,Q3 2024,Mombasa,FMCG,Grace A.,Distributor,133,283.77,"37,741.41","19,481.48","18,259.93"
10-Aug-2024,Aug 2024,Q3 2024,Mombasa,Apparel,Henry L.,Online,197,102.33,"20,159.01","8,429.90","11,729.11"
11-Aug-2024,Aug 2024,Q3 2024,Nairobi,Food & Beverage,David K.,Online,115,44.29,"5,093.35","2,635.89","2,457.46"
11-Aug-2024,Aug 2024,Q3 2024,Eldoret,Industrial Supplies,Brian O.,Walk-in,84,375.44,"31,536.96","21,207.02","10,329.94"
11-Aug-2024,Aug 2024,Q3 2024,Nakuru,Apparel,Carol W.,Online,62,336.11,"20,838.82","9,688.82","11,150.00"
12-Aug-2024,Aug 2024,Q3 2024,Nakuru,Electronics,Alice M.,Distributor,186,87.61,"16,295.46","9,079.93","7,215.53"
12-Aug-2024,Aug 2024,Q3 2024,Nairobi,FMCG,Brian O.,Distributor,170,189.50,"32,215.00","19,844.47","12,370.53"
12-Aug-2024,Aug 2024,Q3 2024,Kisumu,Electronics,Grace A.,Walk-in,40,320.33,"12,813.20","8,524.53","4,288.67"
13-Aug-2024,Aug 2024,Q3 2024,Kisumu,Industrial Supplies,Carol W.,Online,87,305.57,"26,584.59","13,469.02","13,115.57"
14-Aug-2024,Aug 2024,Q3 2024,Eldoret,Electronics,Alice M.,Direct,28,463.92,"12,989.76","5,883.80","7,105.96"
16-Aug-2024,Aug 2024,Q3 2024,Eldoret,Electronics,David K.,Direct,107,225.09,"24,084.63","13,513.50","10,571.13"
17-Aug-2024,Aug 2024,Q3 2024,Mombasa,Industrial Supplies,Carol W.,Online,123,132.41,"16,286.43","6,951.98","9,334.45"
18-Aug-2024,Aug 2024,Q3 2024,Eldoret,Industrial Supplies,Esther N.,Direct,64,151.17,"9,674.88","6,298.82","3,376.06"
18-Aug-2024,Aug 2024,Q3 2024,Nakuru,Food & Beverage,Felix R.,Distributor,146,323.50,"47,231.00","32,415.24","14,815.76"
18-Aug-2024,Aug 2024,Q3 2024,Eldoret,Industrial Supplies,Grace A.,Direct,185,115.25,"21,321.25","13,913.81","7,407.44"
18-Aug-2024,Aug 2024,Q3 2024,Eldoret,Electronics,Felix R.,Direct,129,76.90,"9,920.10","4,609.62","5,310.48"
19-Aug-2024,Aug 2024,Q3 2024,Mombasa,Industrial Supplies,Brian O.,Online,175,180.24,"31,542.00","22,939.59","8,602.41"
20-Aug-2024,Aug 2024,Q3 2024,Kisumu,Apparel,Esther N.,Distributor,35,363.43,"12,720.05","8,135.21","4,584.84"
20-Aug-2024,Aug 2024,Q3 2024,Nairobi,FMCG,Esther N.,Distributor,113,66.24,"7,485.12","5,024.89","2,460.23"
20-Aug-2024,Aug 2024,Q3 2024,Kisumu,Apparel,Grace A.,Online,32,340.67,"10,901.44","6,377.16","4,524.28"
20-Aug-2024,Aug 2024,Q3 2024,Nairobi,FMCG,Alice M.,Direct,90,129.35,"11,641.50","8,218.04","3,423.46"
23-Aug-2024,Aug 2024,Q3 2024,Eldoret,Electronics,Grace A.,Direct,146,153.66,"22,434.36","11,889.67","10,544.69"
23-Aug-2024,Aug 2024,Q3 2024,Eldoret,Apparel,Felix R.,Online,161,247.25,"39,807.25","16,517.30","23,289.95"
25-Aug-2024,Aug 2024,Q3 2024,Eldoret,Industrial Supplies,Brian O.,Direct,66,192.51,"12,705.66","6,887.54","5,818.12"
26-Aug-2024,Aug 2024,Q3 2024,Kisumu,Food & Beverage,Carol W.,Direct,118,473.17,"55,834.06","22,574.93","33,259.13"
26-Aug-2024,Aug 2024,Q3 2024,Nairobi,Apparel,Henry L.,Distributor,41,57.44,"2,355.04","1,527.07",827.97
28-Aug-2024,Aug 2024,Q3 2024,Mombasa,FMCG,Henry L.,Online,83,412.06,"34,200.98","15,220.70","18,980.28"
28-Aug-2024,Aug 2024,Q3 2024,Kisumu,Industrial Supplies,Felix R.,Online,176,61.25,"10,780.00","7,478.21","3,301.79"
28-Aug-2024,Aug 2024,Q3 2024,Mombasa,Apparel,Henry L.,Walk-in,77,391.28,"30,128.56","17,293.27","12,835.29"
28-Aug-2024,Aug 2024,Q3 2024,Nakuru,FMCG,Brian O.,Walk-in,87,128.04,"11,139.48","4,572.19","6,567.29"
29-Aug-2024,Aug 2024,Q3 2024,Mombasa,Industrial Supplies,Henry L.,Direct,25,19.31,482.75,325.62,157.13
30-Aug-2024,Aug 2024,Q3 2024,Mombasa,Electronics,Esther N.,Online,28,411.03,"11,508.84","5,605.97","5,902.87"
31-Aug-2024,Aug 2024,Q3 2024,Nairobi,Electronics,Carol W.,Direct,132,424.21,"55,995.72","29,357.57","26,638.15"
01-Sep-2024,Sep 2024,Q3 2024,Mombasa,Apparel,Felix R.,Online,170,38.99,"6,628.30","3,187.86","3,440.44"
01-Sep-2024,Sep 2024,Q3 2024,Kisumu,FMCG,Alice M.,Online,103,125.41,"12,917.23","6,280.17","6,637.06"
01-Sep-2024,Sep 2024,Q3 2024,Mombasa,Industrial Supplies,Felix R.,Walk-in,184,279.12,"51,358.08","30,055.27","21,302.81"
02-Sep-2024,Sep 2024,Q3 2024,Eldoret,Industrial Supplies,Grace A.,Direct,37,486.47,"17,999.39","9,452.95","8,546.44"
02-Sep-2024,Sep 2024,Q3 2024,Kisumu,FMCG,Grace A.,Online,79,370.09,"29,237.11","15,451.35","13,785.76"
02-Sep-2024,Sep 2024,Q3 2024,Eldoret,FMCG,Carol W.,Walk-in,23,401.61,"9,237.03","6,819.75","2,417.28"
04-Sep-2024,Sep 2024,Q3 2024,Kisumu,Industrial Supplies,Brian O.,Walk-in,189,351.41,"66,416.49","42,399.07","24,017.42"
05-Sep-2024,Sep 2024,Q3 2024,Kisumu,Electronics,Alice M.,Direct,165,394.11,"65,028.15","38,311.10","26,717.05"
05-Sep-2024,Sep 2024,Q3 2024,Eldoret,Apparel,Alice M.,Distributor,21,162.45,"3,411.45","1,953.47","1,457.98"
06-Sep-2024,Sep 2024,Q3 2024,Eldoret,Apparel,Alice M.,Distributor,106,492.38,"52,192.28","38,143.49","14,048.79"
07-Sep-2024,Sep 2024,Q3 2024,Kisumu,Industrial Supplies,Felix R.,Online,78,69.72,"5,438.16","2,790.77","2,647.39"
09-Sep-2024,Sep 2024,Q3 2024,Mombasa,Electronics,Carol W.,Walk-in,75,216.34,"16,225.50","9,419.21","6,806.29"
09-Sep-2024,Sep 2024,Q3 2024,Eldoret,Apparel,Carol W.,Walk-in,14,54.23,759.22,507.60,251.62
10-Sep-2024,Sep 2024,Q3 2024,Eldoret,Industrial Supplies,Esther N.,Direct,32,221.15,"7,076.80","3,121.86","3,954.94"
19-Sep-2024,Sep 2024,Q3 2024,Mombasa,Industrial Supplies,Brian O.,Distributor,120,443.47,"53,216.40","22,581.57","30,634.83"
21-Sep-2024,Sep 2024,Q3 2024,Nakuru,Electronics,David K.,Distributor,21,175.66,"3,688.86","2,007.08","1,681.78"
22-Sep-2024,Sep 2024,Q3 2024,Nakuru,Electronics,David K.,Direct,121,75.34,"9,116.14","5,354.59","3,761.55"
22-Sep-2024,Sep 2024,Q3 2024,Mombasa,Food & Beverage,Felix R.,Walk-in,139,194.64,"27,054.96","11,232.14","15,822.82"
22-Sep-2024,Sep 2024,Q3 2024,Eldoret,Food & Beverage,David K.,Walk-in,100,201.66,"20,166.00","9,673.23","10,492.77"
22-Sep-2024,Sep 2024,Q3 2024,Nakuru,Electronics,Alice M.,Online,35,494.20,"17,297.00","10,416.08","6,880.92"
25-Sep-2024,Sep 2024,Q3 2024,Eldoret,Apparel,Brian O.,Distributor,80,121.47,"9,717.60","6,677.89","3,039.71"
26-Sep-2024,Sep 2024,Q3 2024,Eldoret,Food & Beverage,Alice M.,Walk-in,125,31.33,"3,916.25","2,406.89","1,509.36"
28-Sep-2024,Sep 2024,Q3 2024,Nairobi,Food & Beverage,Felix R.,Walk-in,9,64.82,583.38,363.42,219.96
28-Sep-2024,Sep 2024,Q3 2024,Mombasa,Electronics,Brian O.,Distributor,22,301.57,"6,634.54","3,408.00","3,226.54"
28-Sep-2024,Sep 2024,Q3 2024,Eldoret,Food & Beverage,Felix R.,Walk-in,161,409.35,"65,905.35","28,852.89","37,052.46"
28-Sep-2024,Sep 2024,Q3 2024,Mombasa,Industrial Supplies,Henry L.,Direct,41,358.71,"14,707.11","10,551.48","4,155.63"
29-Sep-2024,Sep 2024,Q3 2024,Mombasa,FMCG,Henry L.,Distributor,72,268.56,"19,336.32","10,396.99","8,939.33"
29-Sep-2024,Sep 2024,Q3 2024,Nakuru,Food & Beverage,Esther N.,Walk-in,9,190.50,"1,714.50",881.54,832.96
29-Sep-2024,Sep 2024,Q3 2024,Nakuru,FMCG,David K.,Walk-in,93,86.01,"7,998.93","5,471.52","2,527.41"
01-Oct-2024,Oct 2024,Q4 2024,Mombasa,FMCG,David K.,Walk-in,75,365.05,"27,378.75","11,175.66","16,203.09"
01-Oct-2024,Oct 2024,Q4 2024,Nairobi,Food & Beverage,David K.,Distributor,79,220.33,"17,406.07","9,309.06","8,097.01"
01-Oct-2024,Oct 2024,Q4 2024,Eldoret,Food & Beverage,Carol W.,Online,26,161.85,"4,208.10","2,403.01","1,805.09"
02-Oct-2024,Oct 2024,Q4 2024,Mombasa,FMCG,Brian O.,Walk-in,140,354.85,"49,679.00","35,901.23","13,777.77"
02-Oct-2024,Oct 2024,Q4 2024,Nakuru,FMCG,David K.,Online,186,80.73,"15,015.78","8,828.40","6,187.38"
04-Oct-2024,Oct 2024,Q4 2024,Nairobi,Apparel,Alice M.,Direct,154,243.63,"37,519.02","16,066.19","21,452.83"
04-Oct-2024,Oct 2024,Q4 2024,Kisumu,Apparel,Carol W.,Distributor,97,259.29,"25,151.13","17,795.01","7,356.12"
06-Oct-2024,Oct 2024,Q4 2024,Nairobi,Food & Beverage,Grace A.,Direct,12,55.91,670.92,448.56,222.36
09-Oct-2024,Oct 2024,Q4 2024,Nakuru,Electronics,David K.,Direct,123,474.06,"58,309.38","30,513.39","27,795.99"
09-Oct-2024,Oct 2024,Q4 2024,Mombasa,Industrial Supplies,David K.,Distributor,22,145.36,"3,197.92","1,514.21","1,683.71"
09-Oct-2024,Oct 2024,Q4 2024,Mombasa,Food & Beverage,Brian O.,Direct,84,205.10,"17,228.40","8,598.23","8,630.17"
10-Oct-2024,Oct 2024,Q4 2024,Mombasa,Apparel,Esther N.,Distributor,188,178.01,"33,465.88","17,046.72","16,419.16"
10-Oct-2024,Oct 2024,Q4 2024,Nairobi,Food & Beverage,Brian O.,Online,26,383.93,"9,982.18","6,533.57","3,448.61"
10-Oct-2024,Oct 2024,Q4 2024,Kisumu,Electronics,Grace A.,Walk-in,200,279.43,"55,886.00","25,771.33","30,114.67"
11-Oct-2024,Oct 2024,Q4 2024,Nakuru,FMCG,David K.,Online,60,484.67,"29,080.20","15,915.21","13,164.99"
12-Oct-2024,Oct 2024,Q4 2024,Kisumu,FMCG,David K.,Walk-in,133,29.72,"3,952.76","2,910.73","1,042.03"
13-Oct-2024,Oct 2024,Q4 2024,Mombasa,Food & Beverage,Carol W.,Walk-in,48,78.03,"3,745.44","2,414.33","1,331.11"
13-Oct-2024,Oct 2024,Q4 2024,Mombasa,Apparel,Brian O.,Distributor,95,119.43,"11,345.85","5,048.89","6,296.96"
14-Oct-2024,Oct 2024,Q4 2024,Kisumu,FMCG,Brian O.,Distributor,67,34.88,"2,336.96","1,012.34","1,324.62"
14-Oct-2024,Oct 2024,Q4 2024,Eldoret,Industrial Supplies,Grace A.,Walk-in,111,357.97,"39,734.67","23,628.30","16,106.37"
15-Oct-2024,Oct 2024,Q4 2024,Nairobi,Electronics,David K.,Distributor,47,170.78,"8,026.66","4,558.18","3,468.48"
15-Oct-2024,Oct 2024,Q4 2024,Nairobi,FMCG,Felix R.,Direct,58,297.65,"17,263.70","8,402.43","8,861.27"
16-Oct-2024,Oct 2024,Q4 2024,Eldoret,Apparel,Esther N.,Distributor,176,360.93,"63,523.68","42,335.99","21,187.69"
